;property_type;state;region;lat;lon;area_m2;price_brl
112;apartment;Pernambuco;Northeast;-8.129.817;-34.914.825;135;698689.35
113;apartment;Pernambuco;Northeast;-8.109.441;-34.898.106;130;698689.35
114;apartment;Pernambuco;Northeast;-81.230.628;-34.903.959;;489082.54
115;apartment;Pernambuco;Northeast;-80.331.805;-348.968.813;;964534.63
116;apartment;Pernambuco;Northeast;-80.373.731;-348.971.001;145;748595.73
117;apartment;Pernambuco;Northeast;-8.056.418;-34.909.309;112;731015.72
118;apartment;Pernambuco;Northeast;-8.033.863;-34.918.545;200;1616966.85
119;apartment;Pernambuco;Northeast;-8.108.315;-34.898.277;108;798502.15
120;apartment;Pernambuco;Northeast;-8.113.885;-3.489.584;;798502.15
121;apartment;Pernambuco;Northeast;-8.115.533;-34.896.854;86;748595.73
122;apartment;Pernambuco;Northeast;-8.126.271;-34.903.793;135;648782.97
123;apartment;Pernambuco;Northeast;-8.040.929;-34.888.283;60;466125.61
124;apartment;Pernambuco;Northeast;-8.038.549;-34.901.844;75;369307.22
125;apartment;Pernambuco;Northeast;-8.027.162;-34.913.445;180;898314.91
126;apartment;Pernambuco;Northeast;-80.620.223;-348.971.463;93;349344.66
127;apartment;Pernambuco;Northeast;-80.373.731;-348.971.001;110;807676.27
128;apartment;Pernambuco;Northeast;-81.208.606;-34.899.662;175;858389.79
129;apartment;Pernambuco;Northeast;-81.460.785;-34.906.419;170;798502.15
130;apartment;Pernambuco;Northeast;-8.056.418;-34.909.309;67;399251.07
131;apartment;Pernambuco;Northeast;-8.089.291;-34.903.793;119;865070.26
132;apartment;Pernambuco;Northeast;-8.183.491;-34.921.719;54;299438.28
133;apartment;Pernambuco;Northeast;-8.046.962;-34.899.654;100;598876.59
134;apartment;Pernambuco;Northeast;-81.092.891;-34.907.094;73;409232.33
135;apartment;Pernambuco;Northeast;-81.092.891;-34.907.094;73;389269.77
136;apartment;Pernambuco;Northeast;-8.028.039;-348.992.006;;329382.13
137;apartment;Pernambuco;Northeast;-80.938.881;-34.883.418;66;439176.16
138;apartment;Pernambuco;Northeast;-809.607;-34.884.548;145;469120.01
139;apartment;Pernambuco;Northeast;-81.460.785;-34.906.419;167;848408.53
140;apartment;Pernambuco;Northeast;-8.004.057;-34.841.721;75;399251.07
141;apartment;Pernambuco;Northeast;-8.034.344;-34.896.725;55;359325.95
142;apartment;Pernambuco;Northeast;-80.508.763;-349.113.739;155;1147846.81
143;house;Pernambuco;Northeast;-8.049.178;-34.924.473;200;848408.53
144;apartment;Pernambuco;Northeast;-80.310.293;-349.275.023;140;948221.29
145;house;Pernambuco;Northeast;-80.314.434;-3.492.159;190;1077977.9
146;apartment;Pernambuco;Northeast;-8.044.832;-34.910.873;65;367310.97
147;apartment;Pernambuco;Northeast;-8.089.291;-34.903.793;109;836430.98
148;apartment;Pernambuco;Northeast;-8.108.554;-34.891.766;102;778539.59
149;apartment;Pernambuco;Northeast;-8.126.271;-34.903.793;165;598876.59
150;apartment;Pernambuco;Northeast;-8.034.408;-34.893.291;;988146.4
151;apartment;Pernambuco;Northeast;-80.369;-34.884.521;65;348346.53
152;apartment;Pernambuco;Northeast;-8.056.418;-34.909.309;95;598876.59
153;apartment;Pernambuco;Northeast;-8.056.418;-34.909.309;86;568932.77
154;apartment;Pernambuco;Northeast;-81.241.574;-349.000.543;74;474509.81
155;apartment;Pernambuco;Northeast;-81.937.545;-349.228.696;63;312974.53
156;apartment;Pernambuco;Northeast;-81.416.581;-349.099.297;125;636045.06
157;apartment;Pernambuco;Northeast;-81.103.967;-349.063.162;110;610805.16
158;apartment;Pernambuco;Northeast;-81.103.967;-349.063.162;120;686524.82
159;apartment;Pernambuco;Northeast;-81.978.842;-3.492.564;64;254522.54
160;apartment;Pernambuco;Northeast;-81.118.458;-348.947.337;158;1110554.87
161;apartment;Pernambuco;Northeast;-80.955.108;-34.884.688;156;1144881.1
162;apartment;Pernambuco;Northeast;-80.944.065;-34.883.792;123;989403.42
163;apartment;Pernambuco;Northeast;-81.294.021;-349.056.294;63;424030.02
164;house;Pernambuco;Northeast;-8.183.491;-34.921.719;250;648782.97
165;apartment;Pernambuco;Northeast;-8.094.985;-34.892.761;240;1116829.6
166;apartment;Pernambuco;Northeast;-81.263.587;-34.905.748;130;588895.33
167;apartment;Pernambuco;Northeast;-81.207.496;-34.899.219;120;349344.66
168;apartment;Pernambuco;Northeast;-81.435.997;-34.909.065;103;489082.54
169;apartment;Pernambuco;Northeast;-8.034.344;-34.896.725;82;578914.03
170;apartment;Pernambuco;Northeast;-80.288.008;-349.190.997;;868371.08
171;apartment;Pernambuco;Northeast;-8.046.962;-34.899.654;100;364316.6
172;apartment;Pernambuco;Northeast;-8.044.034;-348.955.201;170;678726.79
173;apartment;Pernambuco;Northeast;-8.062.398;-34.904.552;140;798502.15
174;apartment;Pernambuco;Northeast;-8.034.104;-3.489.806;;711665.02
175;apartment;Pernambuco;Northeast;-8.027.134;-34.901.733;108;529007.65
176;apartment;Pernambuco;Northeast;-81.103.967;-349.063.162;142;747100.55
177;apartment;Pernambuco;Northeast;-81.103.967;-349.063.162;170;908635.8
178;apartment;Pernambuco;Northeast;-8.126.271;-34.903.793;;479101.27
179;apartment;Pernambuco;Northeast;-8.032.375;-34.906.925;203;1177790.66
180;apartment;Pernambuco;Northeast;-8.062.398;-34.904.552;140;848408.53
181;house;Pernambuco;Northeast;-81.567.832;-34.914.263;250;1597004.3
182;apartment;Pernambuco;Northeast;-8.158.369;-34.920.389;;299438.28
183;apartment;Pernambuco;Northeast;-8.044.832;-34.910.873;65;379288.51
184;apartment;Pernambuco;Northeast;-81.112.378;-348.958.906;163;1211514.4
185;apartment;Pernambuco;Northeast;-8.033.752;-348.982.362;89;686524.82
186;apartment;Pernambuco;Northeast;-8.033.752;-348.982.362;113;832916.14
187;apartment;Pernambuco;Northeast;-8.043.853;-34.907.928;203;1377416.18
188;apartment;Pernambuco;Northeast;-8.068.109;-34.924.175;75;259513.19
189;apartment;Pernambuco;Northeast;-80.179.739;-34.940.726;58;339224.03
190;apartment;Pernambuco;Northeast;-80.307.507;-34.917.765;68;465423.45
191;apartment;Pernambuco;Northeast;-80.275.469;-349.078.785;66;421001.23
192;apartment;Pernambuco;Northeast;-81.249.136;-349.077.055;56;340233.61
193;apartment;Pernambuco;Northeast;-81.410.578;-349.047.129;140;959115.56
194;apartment;Pernambuco;Northeast;-80.485.123;-349.106.168;62;302878.6
195;apartment;Pernambuco;Northeast;-80.336.819;-348.983.573;127;747100.55
196;apartment;Pernambuco;Northeast;-80.578.381;-34.882.897;131;648782.97
197;apartment;Pernambuco;Northeast;-802.765;-34.920.338;96;698689.35
198;apartment;Pernambuco;Northeast;-8.048.381;-34.908.379;75;409232.33
199;apartment;Pernambuco;Northeast;-8.021.971;-34.931.366;150;1097940.43
200;apartment;Pernambuco;Northeast;-80.578.238;-349.126.499;140;349344.66
201;apartment;Pernambuco;Northeast;-814.068;-34.905.975;;698689.35
202;apartment;Pernambuco;Northeast;-802.765;-34.920.338;105;818464.67
203;apartment;Pernambuco;Northeast;-8.106.074;-34.888.065;94;748595.73
204;apartment;Pernambuco;Northeast;-8.140.393;-34.906.624;128;1097940.43
205;apartment;Pernambuco;Northeast;-8.140.393;-34.906.624;128;1048034.05
206;apartment;Pernambuco;Northeast;-809.607;-34.884.548;90;489082.54
207;apartment;Pernambuco;Northeast;-8.103.477;-34.888.622;230;798502.15
208;apartment;Pernambuco;Northeast;-80.378.897;-349.113.117;122;848408.53
209;apartment;Pernambuco;Northeast;-8.035.595;-34.921.719;106;678726.79
210;apartment;Pernambuco;Northeast;-8.021.971;-34.931.366;204;1297565.98
211;apartment;Pernambuco;Northeast;-8.050.071;-3.489.138;;1097940.43
212;apartment;Pernambuco;Northeast;-8.056.418;-34.909.309;91;678726.79
213;apartment;Pernambuco;Northeast;-80.369;-34.884.521;64;364316.6
214;apartment;Pernambuco;Northeast;-81.274.129;-34.905.172;122;529007.65
215;apartment;Pernambuco;Northeast;-80.334.139;-349.089.276;;628820.41
216;apartment;Pernambuco;Northeast;-80.418.977;-349.456.721;93;299438.28
217;apartment;Pernambuco;Northeast;-8.086.438;-3.489.069;87;299438.28
218;apartment;Pernambuco;Northeast;-8.116.624;-34.899.124;;538988.95
219;apartment;Pernambuco;Northeast;-8.027.162;-34.913.445;;319400.84
220;apartment;Pernambuco;Northeast;-8.044.757;-3.489.185;110;339363.39
221;apartment;Pernambuco;Northeast;-8.044.204;-34.891.396;147;848408.53
222;apartment;Pernambuco;Northeast;-8.048.158;-34.910.992;;369307.22
223;apartment;Pernambuco;Northeast;-802.765;-34.920.338;104;638801.71
224;apartment;Pernambuco;Northeast;-8.046.015;-34.910.507;86;529007.65
225;apartment;Pernambuco;Northeast;-8.049.665;-34.931.366;62;357931.56
226;apartment;Pernambuco;Northeast;-8.044.542;-34.894.829;143;918277.46
227;apartment;Pernambuco;Northeast;-80.407.538;-34.888.156;60;424204.24
228;apartment;Pernambuco;Northeast;-802.765;-34.920.338;94;538988.95
229;apartment;Pernambuco;Northeast;-8.126.271;-34.903.793;176;878352.35
230;apartment;Pernambuco;Northeast;-8.215.346;-34.927.231;103;469120.01
231;apartment;Pernambuco;Northeast;-8.143.694;-34.906.676;;1367434.92
232;apartment;Pernambuco;Northeast;-8.035.595;-34.921.719;106;648782.97
233;apartment;Pernambuco;Northeast;-8.115.533;-34.896.854;117;519026.39
234;apartment;Pernambuco;Northeast;-8.113.256;-34.897.057;55;449157.45
235;apartment;Pernambuco;Northeast;-80.576.539;-348.965.881;120;299438.28
236;apartment;Pernambuco;Northeast;-8.034.929;-34.892.761;125;788520.85
237;apartment;Pernambuco;Northeast;-8.034.929;-34.892.761;115;828445.97
238;apartment;Pernambuco;Northeast;-8.040.035;-34.899.654;68;309419.57
239;apartment;Pernambuco;Northeast;-8.034.929;-34.892.761;125;819240.24
240;apartment;Pernambuco;Northeast;-8.047.979;-34.908.512;82;479101.27
241;apartment;Pernambuco;Northeast;-8.035.284;-34.903.919;148;768558.29
242;apartment;Pernambuco;Northeast;-802.765;-34.920.338;57;378290.39
243;apartment;Pernambuco;Northeast;-8.034.104;-3.489.806;113;648782.97
244;apartment;Pernambuco;Northeast;-8.047.052;-34.874.832;80;479101.27
245;apartment;Pernambuco;Northeast;-8.029.394;-34.922.832;85;548970.21
246;apartment;Pernambuco;Northeast;-80.380.508;-348.950.597;;429194.89
247;apartment;Pernambuco;Northeast;-802.765;-34.920.338;96;578914.03
248;apartment;Pernambuco;Northeast;-8.125.979;-34.903.142;;499063.83
249;apartment;Pernambuco;Northeast;-81.413.429;-34.907.283;;529007.65
250;apartment;Pernambuco;Northeast;-81.311.923;-34.905.777;82;359325.95
251;apartment;Pernambuco;Northeast;-81.280.955;-34.906.856;98;449157.45
252;apartment;Pernambuco;Northeast;-81.161.578;-34.893.642;;678726.79
253;apartment;Pernambuco;Northeast;-81.376.548;-34.905.588;68;369307.22
254;apartment;Pernambuco;Northeast;-8.125.862;-34.904.531;83;399251.07
255;apartment;Pernambuco;Northeast;-80.927.682;-34.884.335;79;399251.07
256;apartment;Pernambuco;Northeast;-81.239.701;-34.905.836;80;419213.6
257;apartment;Pernambuco;Northeast;-80.565.882;-348.781.384;176;1161034.64
258;apartment;Pernambuco;Northeast;-81.132.697;-34.896.273;136;474110.62
259;apartment;Pernambuco;Northeast;-81.413.642;-349.263.512;92;757196.48
260;apartment;Pernambuco;Northeast;-81.306.902;-349.098.391;65;302878.6
261;apartment;Pernambuco;Northeast;-8.206.632;-34.921.719;189;688708.09
262;apartment;Pernambuco;Northeast;-8.056.418;-34.909.309;112;728633.21
263;apartment;Pernambuco;Northeast;-802.765;-34.920.338;87;424204.24
264;apartment;Pernambuco;Northeast;-80.383.055;-349.146.682;;1048034.05
265;apartment;Pernambuco;Northeast;-8.035.134;-34.893.791;86;529007.65
266;apartment;Pernambuco;Northeast;-8.027.162;-34.913.445;79;449157.45
267;apartment;Pernambuco;Northeast;-8.030.991;-34.880.032;55;265965.09
268;apartment;Pernambuco;Northeast;-8.043.853;-34.907.928;203;1347472.36
269;apartment;Pernambuco;Northeast;-80.369;-34.884.521;64;339363.39
270;apartment;Pernambuco;Northeast;-802.765;-34.920.338;67;339363.39
271;apartment;Pernambuco;Northeast;-8.032.006;-3.489.827;175;998127.67
272;apartment;Pernambuco;Northeast;-802.765;-34.920.338;65;404241.69
273;apartment;Pernambuco;Northeast;-8.032.974;-34.924.965;189;1397378.74
274;apartment;Pernambuco;Northeast;-8.032.375;-34.906.925;226;1247659.6
275;apartment;Pernambuco;Northeast;-8.044.757;-3.489.185;179;658764.27
276;house;Pernambuco;Northeast;-846.275;-35.082.859;209;1593547.76
277;apartment;Pernambuco;Northeast;-8.035.595;-34.921.719;155;923268.08
278;apartment;Pernambuco;Northeast;-8.040.437;-34.883.881;55;399251.07
279;apartment;Pernambuco;Northeast;-8.034.929;-34.892.761;86;628820.41
280;apartment;Pernambuco;Northeast;-8.040.437;-34.883.881;56;399251.07
281;apartment;Pernambuco;Northeast;-8.040.437;-34.883.881;56;399251.07
282;apartment;Pernambuco;Northeast;-8.044.204;-34.891.396;105;698689.35
283;apartment;Pernambuco;Northeast;-80.352.674;-34.915.894;235;1147846.81
284;apartment;Pernambuco;Northeast;-80.395.221;-349.073.309;71;379288.51
285;apartment;Pernambuco;Northeast;-8.113.256;-34.897.057;55;444166.8
286;apartment;Pernambuco;Northeast;-81.238;-3.490.247;135;648782.97
287;apartment;Pernambuco;Northeast;-8.103.477;-34.888.622;85;1048034.05
288;apartment;Pernambuco;Northeast;-8.021.971;-34.931.366;140;828445.97
289;apartment;Pernambuco;Northeast;-81.395.373;-34.909.275;85;359325.95
290;apartment;Pernambuco;Northeast;-8.112.362;-34.895.853;183;1147846.81
291;apartment;Pernambuco;Northeast;-8.183.698;-34.931.366;;239550.63
292;apartment;Pernambuco;Northeast;-81.398.641;-34.908.659;166;618839.15
293;apartment;Pernambuco;Northeast;-81.376.548;-34.905.588;66;369307.22
294;apartment;Pernambuco;Northeast;-81.237.621;-34.903.048;;489082.54
295;apartment;Pernambuco;Northeast;-8.128.416;-34.903.417;82;494073.18
296;apartment;Pernambuco;Northeast;-8.126.271;-34.903.793;107;898314.91
297;apartment;Pernambuco;Northeast;-8.149.876;-34.910.686;153;1097940.43
298;apartment;Pernambuco;Northeast;-8.034.344;-34.896.725;87;548970.21
299;apartment;Pernambuco;Northeast;-81.149.776;-3.489.895;120;384279.13
300;apartment;Pernambuco;Northeast;-8.125.896;-34.900.967;;264503.81
301;apartment;Pernambuco;Northeast;-81.299.858;-34.903.518;98;519026.39
302;apartment;Pernambuco;Northeast;-81.221.009;-34.905.421;66;394260.42
303;apartment;Pernambuco;Northeast;-81.250.952;-34.902.995;134;643792.32
304;apartment;Pernambuco;Northeast;-81.389.668;-34.906.056;;359325.95
305;apartment;Pernambuco;Northeast;-8.109.666;-34.894.753;;778539.59
306;apartment;Pernambuco;Northeast;-8.126.271;-34.903.793;132;698689.35
307;house;Pernambuco;Northeast;-81.603.708;-349.162.064;230;648782.97
308;apartment;Pernambuco;Northeast;-8.111.414;-34.894.337;158;1197753.22
309;apartment;Pernambuco;Northeast;-8.113.888;-34.892.437;185;848408.53
310;apartment;Pernambuco;Northeast;-81.421.704;-34.907.805;108;648782.97
311;apartment;Pernambuco;Northeast;-8.110.801;-34.895.542;162;1058318.76
312;apartment;Pernambuco;Northeast;-8.152.399;-34.920.338;;546384.05
313;apartment;Pernambuco;Northeast;-8.040.233;-34.898.281;74;259513.19
314;house;Pernambuco;Northeast;-81.951.499;-35.563.776;215;374297.86
315;apartment;Pernambuco;Northeast;-8.101.428;-34.885.632;128;1197753.22
316;apartment;Pernambuco;Northeast;-8.089.291;-34.903.793;170;1247659.6
317;house;Pernambuco;Northeast;-81.951.499;-35.563.776;168;673736.18
318;apartment;Pernambuco;Northeast;-8.206.632;-34.921.719;134;1114908.62
319;apartment;Pernambuco;Northeast;-8.183.491;-34.921.719;170;648782.97
320;apartment;Pernambuco;Northeast;-82.007.221;-349.213.268;180;733623.82
321;house;Pernambuco;Northeast;-8.049.665;-34.931.366;100;349344.66
322;apartment;Pernambuco;Northeast;-80.449.547;-348.956.486;;499063.83
323;apartment;Pernambuco;Northeast;-8.037.121;-3.490.073;160;1097940.43
324;apartment;Pernambuco;Northeast;-8.021.971;-34.931.366;172;1197753.22
325;apartment;Pernambuco;Northeast;-80.369;-34.884.521;65;348346.53
326;apartment;Pernambuco;Northeast;-8.027.162;-34.913.445;98;499063.83
327;apartment;Pernambuco;Northeast;-8.062.398;-34.904.552;104;631315.74
328;apartment;Pernambuco;Northeast;-8.046.647;-34.905.537;;499063.83
329;apartment;Pernambuco;Northeast;-8.045.761;-34.893.982;132;529007.65
330;apartment;Pernambuco;Northeast;-8.027.162;-34.913.445;129;848408.53
331;apartment;Pernambuco;Northeast;-8.021.971;-34.931.366;172;1167809.37
332;house;Pernambuco;Northeast;-7.755.484;-34.851.379;229;499063.83
333;apartment;Pernambuco;Northeast;-802.765;-34.920.338;66;444166.8
334;apartment;Pernambuco;Northeast;-8.040.035;-34.899.654;;588895.33
335;apartment;Pernambuco;Northeast;-8.125.632;-34.904.846;155;978165.11
336;apartment;Pernambuco;Northeast;-81.421.911;-349.075.669;108;588873.77
337;apartment;Pernambuco;Northeast;-8.129.817;-34.914.825;106;784029.28
338;apartment;Pernambuco;Northeast;-8.029.863;-34.909.756;157;808483.41
339;apartment;Pernambuco;Northeast;-8.056.418;-34.909.309;113;768558.29
340;apartment;Pernambuco;Northeast;-8.049.665;-34.931.366;58;299438.28
341;apartment;Pernambuco;Northeast;-80.369;-34.884.521;65;394260.42
342;apartment;Pernambuco;Northeast;-8.056.418;-34.909.309;91;499063.83
343;apartment;Pernambuco;Northeast;-8.056.418;-34.909.309;113;918277.46
344;apartment;Pernambuco;Northeast;-8.067.211;-3.490.517;167;1197753.22
345;apartment;Pernambuco;Northeast;-8.044.486;-34.905.376;90;548970.21
346;apartment;Pernambuco;Northeast;-8.043.853;-34.907.928;87;553960.86
347;apartment;Pernambuco;Northeast;-8.043.853;-34.907.928;;588895.33
348;apartment;Pernambuco;Northeast;-8.033.291;-34.898.014;114;748595.73
349;apartment;Pernambuco;Northeast;-80.347.457;-348.972.145;102;667747.41
350;apartment;Pernambuco;Northeast;-8.049.178;-34.924.473;141;898314.91
351;apartment;Pernambuco;Northeast;-80.508.763;-349.113.739;157;978165.11
352;apartment;Pernambuco;Northeast;-802.765;-34.920.338;158;898314.91
353;apartment;Pernambuco;Northeast;-8.037.733;-34.901.905;58;384279.13
354;apartment;Pernambuco;Northeast;-80.343.998;-349.212.091;;848408.53
355;apartment;Pernambuco;Northeast;-80.343.998;-349.212.091;200;1097940.43
356;apartment;Pernambuco;Northeast;-80.436.724;-349.090.946;90;424204.24
357;apartment;Pernambuco;Northeast;-80.369;-34.884.521;69;329382.13
358;apartment;Pernambuco;Northeast;-80.330.615;-348.950.223;;1247659.6
359;apartment;Pernambuco;Northeast;-8.033.406;-34.893.208;59;364316.6
